N:		T[ms]		Stdev[ms]	  Samples 
9000		9.53108		0.175817		5

9000		5.29214		0.609471		5

9000		67.1783		1.96341		5

9000		65.9144		1.00821		5

9000		66.4707		1.22535		5

9100		10.2664		0.532563		5

9100		20.2129		0.828133		5

9100		9.82108		0.217315		5

9100		4.83496		0.0797904		5

9100		9.5998		0.050413		5

9100		4.886		0.144613		5

9100		69.6205		1.85884		5

9100		67.5388		1.93568		5

9100		68.195		1.26399		5

9200		10.2382		0.107951		5

9200		20.3407		0.166486		5

9200		10.1894		0.797758		5

9200		4.99272		0.169984		5

9200		9.81934		0.0892946		5

9200		4.90834		0.0346279		5

9200		69.2923		0.929261		5

9200		69.1719		1.7915		5

9200		70.5351		1.90132		5

9300		10.4602		0.354491		5

9300		22.157		1.26421		5

9300		10.8674		1.20644		5

9300		5.31		0.517178		5

9300		10.1177		0.253653		5

9300		5.92602		2.00803		5

9300		71.1929		2.20839		5

9300		71.2187		0.909879		5

9300		70.8163		0.709536		5

9400		11.1165		0.985593		5

9400		21.1855		0.213165		5

9400		10.4943		0.501649		5

9400		5.12512		0.0314658		5

9400		10.3583		0.225538		5

9400		5.31392		0.32855		5

9400		72.5564		1.32422		5

9400		72.3298		1.26849		5

9400		72.6241		0.718844		5

9500		11.2406		0.99431		5

9500		23.6173		2.38831		5

9500		10.5948		0.339916		5

9500		5.75578		1.06658		5

9500		10.5178		0.11036		5

9500		5.69518		0.943718		5

